Model,Strategy,R2_Score,MAE,Time_sec
Linear Regression,5-Fold CV,0.4889,68338.01,N/A
Linear Regression,80-20 Split,0.443,69135.78,0.07
Linear Regression,70-30 Split,0.462,68271.07,0.06
Linear Regression,60-40 Split,0.4655,69202.67,0.09
Linear Regression,Train-Val-Test (70-15-15),0.4825,68660.14,0.06
Ridge Regression,5-Fold CV,0.4889,68334.32,N/A
Ridge Regression,80-20 Split,0.443,69132.65,0.06
Ridge Regression,70-30 Split,0.462,68267.09,0.06
Ridge Regression,60-40 Split,0.4654,69198.61,0.05
Ridge Regression,Train-Val-Test (70-15-15),0.4825,68656.83,0.05
Lasso Regression,5-Fold CV,0.4889,68336.7,N/A
Lasso Regression,80-20 Split,0.443,69134.77,1.03
Lasso Regression,70-30 Split,0.462,68269.87,0.1
Lasso Regression,60-40 Split,0.4655,69201.62,0.09
Lasso Regression,Train-Val-Test (70-15-15),0.4825,68659.28,0.09
Decision Tree,5-Fold CV,0.2667,64307.85,N/A
Decision Tree,80-20 Split,0.1877,65713.64,0.18
Decision Tree,70-30 Split,0.2394,65744.6,0.16
Decision Tree,60-40 Split,0.2921,65545.2,0.14
Decision Tree,Train-Val-Test (70-15-15),0.2714,67008.16,0.16
Random Forest,5-Fold CV,0.5829,52693.86,N/A
Random Forest,80-20 Split,0.5303,52765.53,4.29
Random Forest,70-30 Split,0.5441,53393.64,3.89
Random Forest,60-40 Split,0.5594,54036.67,3.22
Random Forest,Train-Val-Test (70-15-15),0.5604,54795.35,3.77
Gradient Boosting,5-Fold CV,0.5683,55932.83,N/A
Gradient Boosting,80-20 Split,0.5198,56224.53,2.07
Gradient Boosting,70-30 Split,0.5371,55618.59,1.92
Gradient Boosting,60-40 Split,0.5365,56684.25,1.62
Gradient Boosting,Train-Val-Test (70-15-15),0.5546,56848.07,1.85
